,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,City ID
0,albany,-73.46686219111825,99.82672592962825,45.27,53,20,14.99,5106834
2,bluff,-71.57518421393544,164.66698197132087,83.47,44,32,15.66,2175403
3,ushuaia,-80.3234715257878,-25.707637512099723,41.0,80,90,35.57,3833367
4,esperance,-55.34087849015076,126.73791387844699,78.8,94,20,4.59,3573739
5,qaanaaq,85.79481703856897,-92.79348008565901,-4.15,100,0,8.16,3831208
6,lavrentiya,68.84546418319513,-172.52145436749583,31.58,100,76,6.04,4031637
7,bubaque,4.561889102756837,-20.998462569443376,83.47,100,76,5.59,2374583
8,castro,-48.28072738994634,-104.2663571503065,45.94,90,76,3.13,3896218
9,port lincoln,-38.329459533678154,129.80355336113695,61.96,80,12,12.41,2063036
11,port hedland,-24.633354336880785,122.79895060170645,96.8,20,12,12.75,2063042
12,waddan,27.292281247800588,17.312373583020587,49.9,90,0,3.02,2209055
13,pevek,72.76077120672309,166.88443644448694,7.06,100,48,3.24,2122090
16,tanout,15.963232533917179,9.475209142858262,65.38,20,0,8.39,2439155
17,patan,20.894076507830206,81.3705421597229,59.0,77,20,3.36,1282931
18,vigrestad,56.40755008114431,4.668927453468342,53.6,71,90,16.11,3131824
19,dikson,85.90902887382785,83.85684574435129,5.26,100,24,30.2,1507390
20,saskylakh,70.24180596324635,111.7594863630178,-29.08,0,12,9.62,2017155
21,port alfred,-74.45726679069881,47.0734380576647,58.72,100,0,14.88,964432
23,vaini,-85.29528389638486,-172.85206215574192,77.08,81,44,3.69,1273574
24,manoel urbano,-9.639942029556124,-69.19208506242384,76.22,94,88,4.25,3663495
26,shalinskoye,55.365574924144056,93.96251506476631,27.31,83,68,10.96,1492466
27,rikitea,-48.776150547445184,-122.4612057819404,73.7,100,12,5.37,4030556
28,mataura,-77.69933088390714,-141.559454867942,50.57,100,100,10.74,6201424
29,samarai,-14.076853871303797,150.59572197205796,81.13,99,68,15.1,2132606
30,jamestown,-14.00970474065332,-5.274205279132872,60.97,56,12,4.92,2069194
31,brownsville,26.449225718953457,-95.4378977888677,77.63,93,1,4.7,4676740
32,izhma,65.6861622767531,55.31932692335408,11.02,72,8,4.92,554830
33,thompson,69.89886291961147,-90.94968906150164,5.0,77,40,4.7,6165406
34,marsh harbour,29.50906682238336,-74.84232627075846,80.9,100,68,13.98,3571913
35,saint george,30.8492580100487,-55.66491091496785,57.2,93,90,2.24,262462
36,aquin,17.45877414701239,-73.3757429667372,82.39,100,8,6.6,3731095
37,waingapu,-13.841904080640475,121.0184818491216,86.71,74,24,5.48,1622318
38,lebu,-34.48250828928336,-83.89963036150922,45.13,91,56,2.35,344979
39,nang rong,14.807544935469352,102.92369352152292,82.4,78,75,9.17,1608424
40,riyadh,26.426020142604543,46.35998095251301,62.6,88,40,2.24,108410
41,nikolskoye,42.39959766587015,176.56175348407936,39.2,100,90,2.24,546105
42,santa rosa,-36.49906222570136,-66.52705713331318,67.99,44,8,19.91,3835994
43,palora,-2.223218923268945,-76.96628314516062,61.24,99,48,2.01,3653523
44,cururupu,6.950250787540995,-40.69773494468842,79.28,82,12,8.5,3401148
45,vila velha,-24.935143426644743,-32.66032904116702,80.6,78,40,10.29,6320062
46,victor harbor,-37.878170120440856,136.58937579653065,60.8,41,0,10.29,2059470
47,atuona,-3.646986777969559,-143.14646178662522,79.82,100,92,10.96,4020109
48,tateyama,32.996227224574994,140.76365931787666,66.2,55,40,3.36,1849876
49,constitucion,-33.46173055492696,-77.30317970197814,62.6,42,5,2.24,4011743
50,cabo san lucas,18.47441495861183,-111.05785293226663,74.21,64,5,5.93,3985710
51,athni,16.7352441634484,75.0893616195064,77.3,63,20,3.8,1278208
52,puerto ayora,-12.662177057929568,-93.25175963933887,72.8,100,68,11.86,3652764
53,kishtwar,33.65335724661122,76.61507988645019,29.83,47,12,1.68,1266475
54,barra patuca,16.13434195034978,-84.2934237066639,84.1,83,92,10.85,3614835
56,vostok,47.51852429268365,146.97774139993595,36.67,47,24,3.36,2013279
57,margate,-43.61297881908448,41.3508112714959,55.4,50,75,16.11,2158744
58,saint-philippe,-55.99054328030933,72.4609664638225,43.9,65,90,25.28,6138908
59,cayenne,12.672230933533243,-42.43389576229154,75.2,94,20,9.4,3382160
60,nouadhibou,21.017544245361833,-15.76133822993333,66.2,77,80,12.75,2377457
61,narsaq,78.9278341252267,-62.62714425888869,17.6,67,0,3.36,3421719
62,eureka,40.602117664739296,-138.4367919833609,46.15,82,1,3.36,5563397
63,pringsewu,-7.64637508476973,103.20295591975349,79.42,95,80,3.13,1630639
64,baie-saint-paul,47.35168736749594,-70.7030671833883,37.3,90,76,10.74,6690232
65,miraflores,0.20243188247548005,-72.22231234254367,48.77,95,44,0.45,3674735
66,egvekinot,67.28705399649579,-179.83414077410424,15.88,85,48,3.8,4031742
