,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,City ID
0,katsuura,25.597566241863802,147.71843811493136,41.92,86,75,6.93,1865309
2,ketchikan,57.15711224495257,-130.72119930516266,40.17,69,20,8.05,5554428
3,lubango,-16.127035179201087,14.275125136033694,68.89,64,0,1.59,3347762
4,shaowu,27.471167135605526,117.35611873554558,49.67,100,92,2.37,1795857
6,vaini,-71.22021603197048,-168.77182642080652,64.07,92,0,1.7,1273574
9,balikpapan,-2.7736880073235,117.37154939852826,78.8,88,20,8.05,1650527
10,saldanha,-38.879741135879016,7.833184835834146,39.77,89,8,4.27,2737599
11,victoria,-2.3713697902626762,55.549409496609826,78.8,94,75,9.42,1733782
12,bethanien,-27.391453430909245,16.989987041717995,79.91,20,0,11.65,3358416
14,bereda,13.884999064973798,53.13139490634015,50.0,76,0,10.29,3105522
15,norman wells,61.636706279216725,-125.80176584942217,10.4,66,75,11.41,6089245
17,kapaa,25.377768414515515,-168.34577935378394,76.01,69,40,8.05,5848280
18,port blair,11.682139653995222,92.75645706088949,81.44,100,0,10.98,1259385
19,saskylakh,75.60168740293557,117.06807290806887,-33.09,58,24,4.38,2017155
20,qaanaaq,87.14669384353857,-96.97757828292721,-8.02,91,44,7.4,3831208
21,jamestown,-19.743584480760873,-6.17231427031399,46.07,86,0,3.38,2069194
22,kenitra,34.41847798457806,-6.6823574522353795,48.2,93,0,2.24,2544571
23,yellowknife,67.71955896499003,-112.92732529020617,-5.81,76,90,5.82,6185377
24,atuona,6.556559928712261,-128.5061692934734,82.12,99,20,18.48,4020109
25,ugoofaaru,5.143175968301591,64.60399430493362,81.62,100,0,9.75,1337619
26,hermanus,-74.29675790411267,-3.0736583122422587,61.73,96,44,3.38,3366880
27,port elizabeth,-77.81706354083843,36.159222419208675,33.17,90,90,9.17,4501427
28,geraldton,-32.70009307271693,94.63059635599308,24.8,53,90,3.36,5960603
30,sabang,6.323620758434586,94.45047609089858,76.0,83,68,9.86,1691355
31,thompson,70.40685128600225,-96.00450170369363,5.0,71,75,10.29,6165406
32,bethel,48.229882760346385,-171.0740780171949,34.25,86,90,26.4,5880568
33,nova olinda do norte,-4.0670998335409365,-59.065050302274955,81.26,92,44,3.27,3393838
34,vardo,83.16677033037695,34.06101417687506,31.28,97,90,11.41,4372777
35,hithadhoo,-8.880466659178637,74.22576138554106,81.26,100,68,4.72,1282256
37,lingao,20.019063905218133,109.17336677174774,69.02,93,12,4.61,1803560
38,vanavara,61.15559348240885,105.0654703436714,22.31,89,68,5.73,2013727
39,vanimo,1.1048915964097574,140.38568181343663,81.67,100,76,22.62,2084442
40,mount isa,-23.45001379199438,137.57293055465152,80.6,14,0,8.05,2065594
41,greenville,32.852424996735095,-95.90656057311625,38.97,100,90,3.36,4580543
42,rikitea,-24.005798446421423,-119.08485149943341,78.07,100,76,13.33,4030556
43,carutapera,8.409745673078831,-40.73983808067385,80.36,91,76,5.61,3402648
44,ushuaia,-71.36204086976375,-28.063570578634938,39.2,86,90,26.4,3833367
45,ahipara,-36.76869577170092,171.3181792377889,71.36,87,92,10.65,2194098
46,albany,-83.5934682284616,103.60722212261214,27.68,42,90,12.75,5106834
47,puerto ayora,-7.378714543863026,-106.66047692582919,87.8,62,20,8.05,3652764
48,tura,66.3086289693234,100.69120516495985,58.72,87,0,5.84,1254046
49,barrow,77.11406069099985,-164.94247281827174,89.36,29,0,9.08,3833859
50,carnarvon,-30.537720532213207,22.00779798468045,73.52,28,80,12.77,1014034
51,guerrero negro,22.430977586113343,-121.20807766440896,60.97,57,0,10.42,4021858
52,jiangyou,33.13639033215975,103.15596209844324,36.89,98,92,3.04,1885823
53,lebu,-32.60773480927375,-81.19376260842715,62.6,67,20,6.93,344979
54,new norfolk,-51.066705854082834,139.64463367838135,57.2,50,75,14.99,2155415
55,nanortalik,49.01941969968891,-38.460616033647256,25.28,100,0,9.42,3421765
56,mataura,-67.41806877456331,-149.12782537388202,54.04,100,92,4.27,6201424
57,pangody,69.74485338361436,74.77792991113844,-24.4,36,8,3.38,1495626
59,port hardy,42.84286725524086,-138.84544870790856,41.0,75,20,12.75,6111862
60,punta arenas,-56.8269836701151,-91.85367236125342,46.4,52,75,18.34,3874787
62,tawang,28.18216876233734,92.71424048771183,28.7,54,0,1.36,1254832
63,dingle,50.024954395895634,-20.861036286411263,72.89,79,0,12.21,1714733
64,pervomayskoye,57.79427700329822,86.0969949825431,26.27,87,68,8.75,1495256
65,xuddur,5.632577866784317,43.02756696100013,81.71,52,0,12.88,49747
66,castro,-44.353503600581675,-93.17804411492966,53.6,93,90,4.7,3896218
67,magistralnyy,55.10605406029225,107.65567593137808,13.31,78,76,3.38,2020584
69,artyom,40.67991409880935,52.05317916779521,8.6,71,0,7.4,2027456
70,nouadhibou,24.3159939858528,-21.619002313682472,64.4,72,0,13.87,2377457
71,kilosa,-7.0634745355695685,37.12688667574085,69.11,98,92,0.58,157403
72,mount pleasant,31.148096452448016,-78.8873270235133,53.92,54,1,5.82,4712933
73,makakilo city,5.742419688464935,-167.4258287140052,75.2,73,1,6.93,5850554
74,panama city,27.034525416893203,-86.5229253607846,70.57,88,90,19.46,4167694
75,gulkevichi,45.29558154324107,40.76583658365837,32.48,73,12,7.74,558066
76,pangnirtung,70.14954082309836,-64.25195982998694,-22.01,74,20,8.97,6096551
77,mahebourg,-26.343820913277213,63.11530110340047,78.8,94,75,2.24,934322
78,tiksi,86.04097156852347,124.1943878891463,-14.68,66,0,8.41,2015306
79,naze,25.259129730066263,132.24815814905247,86.0,79,20,6.93,2337542
81,bredasdorp,-42.60584593769701,20.873973381613922,64.4,82,88,2.24,1015776
82,codajas,-4.521596244501339,-62.451802733192736,84.64,82,20,3.6,3664525
83,lokosovo,61.68152442821551,74.90490903377477,3.68,82,80,4.27,1500399
84,san quintin,28.020158781116052,-121.17264891684579,59.84,73,0,5.39,1688687
85,busselton,-72.7953148685923,82.2092404060939,66.5,100,0,15.46,2075265
86,hilo,14.795349802259807,-134.42729632844845,77.0,78,90,3.36,5855927
87,aloleng,15.896739162852754,116.53178796445064,72.85,97,0,8.52,1731298
88,lagoa,47.66622354130104,-25.58651474421373,55.4,82,0,8.05,2267254
90,mar del plata,-48.33893567379827,-44.986453623673015,63.71,37,8,24.52,3863379
91,dagda,55.838206958112494,27.756771253244978,22.49,78,48,20.94,460474
92,airai,17.709373840639827,141.6544781634541,65.96,88,0,1.25,1651810
93,the valley,18.444002282449517,-62.75589928267418,79.75,54,20,17.22,3573374
94,kodiak,51.24324992685965,-151.62444927534943,33.21,98,1,19.46,4407665
95,bend,43.335306001476994,-120.9830265963513,36.86,64,44,3.36,5713587
96,saint-philippe,-60.45731055895615,71.35360768171512,20.62,58,75,2.93,6138908
97,sao joao da barra,-23.07054236392439,-39.9256118369922,78.8,78,40,13.87,3448903
98,zhigansk,65.46427558885648,123.45997813358048,-23.05,34,0,4.05,2012530
99,rantepao,-2.9736669148570485,120.72991446084251,63.71,100,24,1.92,1629974
100,meadow lake,58.019128262303894,-108.01101879761435,15.8,72,75,10.29,6071421
101,kindu,-1.8875777362561337,24.579291799362238,74.42,97,44,3.38,212902
102,pangkalanbuun,-2.5941101226100045,110.11759430074187,71.36,96,20,2.71,1632694
103,atar,24.071039849520886,-9.499401512111803,60.34,23,0,2.71,2381334
104,adrar,25.02647743043167,4.490080153126144,66.2,25,0,13.87,2508813
105,valdez,1.1008157843875352,-79.24516814957451,26.6,53,75,0.13,5877389
106,kodinsk,58.69483829901452,98.63646078456674,26.59,91,92,3.38,1503037
108,christchurch,-48.20414372652047,177.94228192315921,69.8,68,0,10.29,2192362
109,kudahuvadhoo,2.8848240244852974,70.62326620350876,84.14,97,12,14,1337607
110,quthing,-29.95817027633565,27.949444685741383,52.69,62,8,1.7,932183
111,oneonta,42.505925965500325,-74.7445542464814,25.24,68,92,5.17,5129852
112,maniitsoq,62.22911691206585,-57.81191222856779,11.06,81,48,9.75,3421982
113,jiupu,41.15144953291531,122.83146237523965,9.49,62,0,3.6,2036403
114,high level,58.4891737945197,-118.54575034597663,8.6,65,75,10.29,5975004
115,kiama,-36.65722421340392,154.91430304970163,62.6,100,90,5.82,2161515
116,khatanga,76.36322225388523,100.33326321964842,-26.52,41,12,3.04,2022572
117,cape town,-38.607739340406944,11.966366484221936,68.0,72,0,12.75,3369157
