,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,City ID
0,oussouye,10.25130627152123,-19.348760345706495,89.65,79,40,6.93,2246901
1,mataura,-26.772421074017082,-142.92422922370852,29.64,91,20,2.86,6201424
2,severo-kurilsk,43.28742853878248,157.7099022016027,43.14,100,0,5.1,2121385
3,vaini,-85.20922055116118,-175.57746484642422,71.94,94,32,2.19,1273574
4,torbay,46.57256958558497,-46.587580710342905,62.6,82,75,24.16,6167817
5,hobart,-82.16073892755088,145.18768026550146,51.8,57,75,10.29,2163355
6,kapaa,27.406329563445993,-178.3223360273585,75.2,100,20,4.7,5848280
7,centenario do sul,-22.77236729159624,-51.6768906726908,72.39,90,80,10.58,3466470
8,kristiansund,65.1279161736941,7.045827649329169,43.61,87,75,17.22,6453331
9,yellowknife,85.51123445928275,-109.62120801583228,26.6,63,75,11.41,6185377
10,saldanha,-42.812153435930234,-0.9982899395667744,77.25,48,24,0.96,2737599
11,college,66.42190696595168,-147.96652212607125,32.36,16,1,5.82,5859699
12,rikitea,-61.937692797285685,-116.23419310740778,72.12,100,20,17.07,4030556
13,alta floresta,-8.095951905002977,-55.27712102869721,86.0,66,0,2.24,6316343
14,busselton,-43.88248506734384,83.82795139452816,52.59,100,0,20.87,2075265
15,upernavik,87.75926249891089,-48.42544618262289,33.42,100,0,5.77,3418910
16,chuy,-48.83235557170099,-40.1277371088714,64.56,88,32,17.85,3443061
17,valparaiso,-31.703669633643457,-76.07223424123214,64.26,45,75,11.41,4927537
18,parrita,8.68635731319003,-84.76519638820494,80.6,69,20,13.87,3622537
19,thompson,65.0037418804614,-88.74547133531595,32.0,86,90,11.41,6165406
20,dikson,84.06036015085778,70.5732775532708,39.27,95,88,17.29,1507390
21,vaitupu,4.414791374951449,-173.31603620644535,,,,,
22,chilliwack,49.30106289782802,-121.74558383998018,58.3,82,40,2.24,5921357
23,amderma,70.74345024751733,62.44579953413654,,,,,
24,isangel,-20.695350438905038,178.05971270389904,69.87,100,100,22.21,2136825
25,cherskiy,73.05951934446111,159.51047938061987,38.91,79,48,7,2126199
26,tateyama,30.36642483711148,141.26891722564972,52.05,100,36,0.63,1849876
27,punta arenas,-73.56344027573238,-113.15565674717517,50.0,43,0,20.8,3874787
28,portland,-59.0706627205806,129.13072896022157,62.89,64,20,3.36,5746545
29,puerto suarez,-18.453246694485827,-58.29033503300596,87.8,70,90,16.11,3465342
30,cape town,-52.036074325853384,7.502543245034218,60.8,77,75,16.11,3369157
31,toliary,-25.853896715540472,40.839100044445814,,,,,
32,bloomington,40.41837581846514,-89.07665792781326,65.03,51,1,4.7,4885164
33,ust-nera,62.14769833797632,141.41165761550462,21.0,100,80,2.19,2120048
34,xiongshi,28.531342842278335,117.35723328038898,,,,,
35,hilo,10.470470533754963,-146.60071844665063,65.07,90,75,11.7,5855927
36,hofn,64.40845977611966,-12.278165121845575,46.4,39,20,13.87,2630299
37,laguna,-46.20213407466443,-28.98330137280729,87.8,52,5,3.36,4013704
38,deputatskiy,71.1473111054195,143.37652100338693,22.8,85,80,2.86,2028164
39,qaanaaq,86.73033789806001,-95.49703647105294,20.19,100,0,8.01,3831208
40,trairi,4.255822740563275,-34.521840706611385,78.96,100,8,21.32,3386177
41,vao,-27.162230428637315,172.87902759365284,49.8,61,92,11.92,588365
42,bengkulu,-21.37594436301282,88.3893565851559,,,,,
43,bethel,53.34656769315899,-167.8962320822303,42.08,88,75,9.17,5880568
